一不小心	yrt brt siu srm
一世人	yrt sri yrn
一世英名	yrt sri yij mij
一个	yrt go
一串	yrt cvn
一九九七年	yrt gru gru crt nin
一九四九年	yrt gru sei gru nin
一事	yrt si
一二	yrt yi
一些些	yrt se se
一人做事一人当	yrt yrn zou si yrt yrn doj
一人计短，二人计长	yrt yrn gri dvn yi yrn gri zxj
一仆一碌	yrt puk yrt luk
一介	yrt gai
一代英豪	yrt doi yij hou
一代豪杰	yrt doi hou git
一件还一件	yrt gin wan yrt gin
一件头	yrt gin tru
一任	yrt yrm
一份	yrt frn
一住	yrt zv
一来到	yrt lri dou
一便	yrt bin
一系	yrt hri
一个一个	yrt go yrt go
一个中国	yrt go zuj guok
一个二个	yrt go yi go
一个做好，一个做丑	yrt go zou hou ，yrt go zou cru
一个字	yrt go zi
一个对	yrt go dxi
一个崩	yrt go brj
一个巴仙	yrt go ba sin
一个钟	yrt go zuj
一个饼印	yrt go bej yrn
一个饼印啖	yrt go bej yrn grm
一个骨	yrt go gurt
一倍	yrt pui
一亿	yrt yik
一元化	yrt yvn fa
一元复始	yrt yvn fuk ci
一元方程	yrt yvn foj cij
一兆	yrt siu
一共	yrt guj
一凹一凸	yrt nrp yrt drt
一分	yrt frn
一分一秒	yrt frn yrt miu
一分钱	yrt frn cin
一刻	yrt hak
一动不如一静	yrt duj brt yv yrt zij
一十	yrt srp
一千	yrt cin
一去不返	yrt hxi brt fan
一口价	yrt hru ga
一口烟	yrt hru yin
一句讲晒	yrt gxi goj sai
一句钟	yrt gxi zuj
一向	yrt hxj
一向都	yrt hxj dou
一味	yrt mei
一哥	yrt go
一唔系	yrt m hri
一啖砂糖一啖屎	yrt dam sa toj yrt dam si
一啲	yrt di
一啲啲	yrt di di
一嘢	yrt ye
一嚿嘢	yrt gru ye
一嚿水	yrt gru sxi
一嚿溜	yrt gru liu
一嚿云	yrt gru wrn
一嚿饭	yrt gru fan
一嚿饭啖	yrt gru fan grm
一回	yrt wui
一国三公	yrt guok sam guj
一国之君	yrt guok zi gurn
一团	yrt tvn
一坺	yrt pet
一坺迾	yrt pat lat
一场	yrt cxj
一场欢喜一场空	yrt cxj fun hei yrt cxj huj
一夕之间	yrt zik zi gan
一夜夫妻百日恩	yrt ye fu cri bak yrt yrn
一夜风流	yrt ye fuj lru
一天	yrt tin
一天光晒	yrt tin guoj sai
一天都光晒	yrt tin dou guoj sai
一夫	yrt fu
一夫一妻制	yrt fu yrt cri zri
一夫当关	yrt fu doj guan
一如往昔	yrt yv woj sik
一妻多夫	yrt cri do fu
一妻多夫制	yrt cri do fu zri
一姐	yrt ze
一字之差	yrt zi zi ca
一字咁浅	yrt zi grm cin
一字角	yrt zi gok
一字马	yrt zi ma
一官半职	yrt gun bun zik
一定会	yrt dij wui
一家大细	yrt ga dai sri
一将功成万骨枯	yrt zxj guj sij man gurt fu
一对一	yrt dxi yrt
一小时	yrt siu si
一就一，二就二	yrt zru yrt yi zru yi
一局	yrt guk
一山不能藏二虎	yrt san brt nrj coj yi fu
一山还比一山高	yrt san wan bei yrt san gou
一岩一窟	yrt jam yrt frt
一己之私	yrt gei zi si
一帆风顺	yrt fan fuj sxn
一年	yrt nin
一年一度	yrt nin yrt dou
一年级	yrt nin krp
一式	yrt sik
一式两份	yrt sik lxj frn
一弓射两箭	yrt guj se lxj zin
一张	yrt zxj
一张嘢	yrt zxj ye
一往	yrt woj
一往情深	yrt woj cij srm
一德路	yrt drk lou
一心一意	yrt srm yrt yi
一心向上	yrt srm hxj sxj
一忍再忍	yrt yrn zoi yrn
一念之间	yrt nim zi gan
一息尚存	yrt sik sxj cvn
一息间	yrt sik gan
一成	yrt sij
一戙都冇	yrt duj dou mou
一手	yrt sru
一手一脚	yrt sru yrt gxk
一手交钱	yrt sru gau cin
一批	yrt pri
一技旁身	yrt gei poj srn
一把	yrt ba
一把火	yrt ba fo
一拍行	yrt pak hoj
一招半式	yrt ziu bun sik
一撇嘢	yrt pit ye
一撇水	yrt pit sxi
一担担	yrt dam dam
一支公	yrt zi guj
一文	yrt mrn
一於	yrt yv
一日	yrt yrt
一日到黑	yrt yrt dou hrk
一早	yrt zou
一早就	yrt zou zru
一时	yrt si
一时一样	yrt si yrt yxj
一时之间	yrt si zi gan
一时口快	yrt si hru fai
一时时	yrt si si
一朝	yrt ziu
一朝天子一朝臣	yrt ciu tin zi yrt ciu srn
一朝被蛇咬	yrt ziu bei se jau
一本通书睇到老	yrt bun tuj sv tri dou lou
一朵鲜花插在牛粪上	yrt do sin fa cap zoi jru frn sxj
一枕黄粱	yrt zrm woj lxj
一枝公	yrt zi guj
一架	yrt ga
一条冷	yrt tiu laj
一条数	yrt tiu sou
一条气	yrt tiu hei
一梯两伙	yrt tri lxj fo
一乐也	yrt lok ya
一楼一鳯	yrt lru yrt fuj
一楼一凤	yrt lru yrt fuj
一模一样	yrt mou yrt yxj
一样米养百样人	yrt yxj mri yxj bak yxj yrn
一档	yrt 檔:doj
一次起两次止	yrt ci hei lxj ci zi
一次过	yrt ci guo
一步	yrt bou
一步一步	yrt bou yrt bou
一死一伤	yrt sei yrt sxj
一死了之	yrt sei liu zi
一段	yrt dvn
一壳眼泪	yrt hok jan lxi
一毛钱	yrt mou cin
一氧化碳中毒	yrt yxj fa tan zuj duk
一池春水	yrt ci cxn sxi
一池秋水	yrt ci cru sxi
一决胜负	yrt kvt sij fu
一沉百踩	yrt crm bak cai
一派	yrt pai
一流	yrt lru
一泻千里	yrt se cin lei
一物治一物，糯米治木虱	yrt mrt zi yrt mrt ，no mri zi muk srt
一班人	yrt ban yrn
一理通，百理明	yrt lei tuj bak lei mij
一生人	yrt srj yrn
一番	yrt fan
一匹布咁长	yrt prt bou grm cxj
一登龙门	yrt drj luj mun
一发	yrt fat
一百	yrt bak
一百万	yrt bak man
一百零一	yrt bak lij yrt
一皮	yrt pei
一皮嘢	yrt pei ye
一盅两件	yrt zuj lxj gin
一盘水	yrt pun sxi
一直行	yrt zik haj
一眼睇晒	yrt jan tri sai
一眼关七	yrt jan guan crt
一众	yrt zuj
一碌杉	yrt luk cam
一碗	yrt wun
一碟斋	yrt dip zai
一砖豆腐想升仙	yrt zvn dru  fu sxj sij sin
一万	yrt man
一窿蛇	yrt luj se
一站式	yrt zam sik
一端	yrt dvn
一竹篙打一船人	yrt zuk gou da yrt svn yrn
一竹篙打死一船人	yrt zuk gou da sei yrt svn yrn
一竹篙揇沉一船人	yrt zuk gou nam crm yrt svn yrn
一笔还一笔	yrt brt wan yrt brt
一等兵	yrt drj bij
一箭双雕	yrt zin sxj diu
一箸夹中	yrt zv gap zuj
一粒嘢	yrt lrp ye
一粒神	yrt nrp srn
一粒花	yrt nrp fa
一统天下	yrt tuj tin ha
一经	yrt gij
一群	yrt qurn
一而再	yrt yi zoi
一肚气	yrt tou hei
一脉相传	yrt mrk sxj cvn
一脚牛屎	yrt gxk jru si
一脚踏两船	yrt gxk dap lxj svn
一脚踢	yrt gxk tek
一自	yrt zi
一致	yrt zi
一举成名	yrt gxi sij mij
一旧饭	yrt gru fan
一色	yrt sik
一草	yrt cou
一处	yrt cv
一蟹不如一蟹	yrt hai brt yv yrt hai
一表人才	yrt biu yrn coi
一见钟情	yrt gin zuj cij
一览表	yrt lam biu
一言以蔽	yrt yin yi bri
一言堂	yrt yin toj
一言惊醒梦中人	yrt yin gij sij muj zuj yrn
一讲曹操，曹操就到	yrt goj cou cou cou cou zru dou
一路上	yrt lou sxj
一路路	yrt lou lou
一身债	yrt srn zai
一身蚁	yrt srn jri
一身松	yrt srn suj
一轮嘴	yrt lxn zxi
一辘木	yrt luk muk
一辘木啖	yrt luk muk grm
一辘杉	yrt luk cam
一边倒	yrt bin dou
一部	yrt bou
一部份	yrt bou frn
一醉解千愁	yrt zxi gai cin sru
一镬	yrt wok
一镬泡	yrt wok pou
一镬熟	yrt wok suk
一镬粥	yrt wok zuk
一镬繑起	yrt wok kiu hei
一门	yrt mun
一阵	yrt zrn
一阵间	yrt zrn gan
一阵阵	yrt zrn zrn
一阵风	yrt zrn fuj
一隅	yrt yv
一只屐	yrt zek kek
一只屐啖	yrt zek kek grm
一只牛	yrt zek jru
一只狗啖	yrt zek gru grm
一双	yrt sxj
一双鞋	yrt sxj hai
一鸡死，一鸡鸣	yrt gri sei ，yrt gri mij
一鸡死一鸡鸣	yrt gri sei yrt gri mij
一面	yrt min
一面屁	yrt min pei
一项	yrt hoj
一头…一头…	yrt tru …yrt tru…
一头半个月	yrt tru bun go yvt
一头半月	yrt tru bun yvt
一头家	yrt tru ga
一头烟	yrt tru yin
一颈血	yrt gej hvt
一额汗	yrt jak hon
一飞冲天	yrt fei cuj tin
一餐	yrt can
一餐饭	yrt can fan
一发千钧	yrt fat cin gurn
一鸣惊人	yrt mij gij yrn
一点钟	yrt dim zuj
一齐	yrt cri
丁屋	dij uk
丁等	dij drj
七一游行	crt yrt yru hrj
七仔	crt zi
七个一皮	crt go yrt pei
七个字	crt go zi
七出	crt cxt
七十七	crt srp crt
七十二行	crt srp yi hoj
七千	crt cin
七名	crt mij
七嘴八舌	crt zxi bat sit
七国咁乱	crt guok grm lvn
七大洲	crt dai zru
七姊妹	crt zi mui
七姊妹道	crt zi mui dou
七姐	crt ze
七孔生烟	crt huj srj yin
七彩	crt coi
七情上面	crt cij sxj min
七情六欲	crt cij luk yuk
七手八脚	crt sru bat gxk
七扶八插	crt fu bat cap
七折八扣	crt zit bat kru
七擒七纵	crt krm crt zuj
七支八离	crt zi bat lei
七日	crt yrt
七星岩	crt sij jam
七星茶	crt sij ca
七月一号	crt yvt yrt hou
七月三十号	crt yvt sam srp hou
七步成诗	crt bou sij si
七百	crt bak
七穷六绝	crt kuj luk zvt
七弦琴	crt yin krm
七行诗	crt hoj si
七言诗	crt yin si
七除八扣	crt cxi bat kru
七零八落	crt lij bat lok
七颠八倒	crt din bat dou
七点钟	crt dim zuj
三T	sam Ｔ
三九两丁七	sam gru lxj dij crt
三九唔识七	sam gru m sik crt
三九四零五二	sam gru sei lij j yi
三五知己	sam j zi gei
三人性交	sam yrn sij gau
三仔	sam zri
三个字	sam go zi
三个骨	sam go gurt
三元里	sam yvn lei
三元里站	sam yvn lei zam
三两下手势	sam lxj ha sru sri
三八妇女节	sam bat fu nxi zit
三六	sam luk
三六香肉	sam luk hxj yuk
三分颜色上大红	sam frn jan sik sxj dai huj
三十一日	sam srp yrt yrt
三十一号	sam srp yrt hou
三十三	sam srp sam
三十日	sam srp yrt
三千	sam cin
三及第	sam krp dri
三口两脷	sam hru lxj lei
三口六面	sam hru luk min
三句不离本行	sam gxi brt lei bun hoj
三合板	sam grp ban
三唔识七	sam m sik crt
三国	sam guok
三国时代	sam guok si doi
三姑六婆	sam gu luk po
三寸金莲	sam cvn grm lin
三寸钉	sam cvn dej
三尖八角	sam zim bat gok
三岔路口	sam ca lou hru
三幅被	sam fuk pei
三年	sam nin
三几	sam gei
三度空间	sam dou huj gan
三心两意	sam srm lxj yi
三思	sam si
三急	sam grp
三扒两拨	sam pa lxj but
三方	sam foj
三日	sam yrt
三日两夜	sam yrt lxj ye
三日两头	sam yrt lxj tru
三更穷五更富	sam gaj kuj j gaj fu
三月二十一号	sam yvt yi srp yrt hou
三朝	sam ciu
三朝元老	sam ciu yvn lou
三板	sam ban
三板斧	sam ban fu
三枝桅	sam zi jri
三柴	sam cai
三条	sam tiu
三栋屋博物馆	sam duj uk bok mrt gun
三步揦埋两步	sam bou la mai lxj bou
三岁定八十	sam sxi dij bat srp
三江	sam goj
三蒸酒	sam zij zru
三百	sam bak
三相	sam sxj
三粒星	sam nrp sij
三索	sam sok
三索线	sam sok sin
三维电影	sam wri din yij
三缄其口	sam gam kei hru
三缺一	sam kvt yrt
三脚凳	sam gxk drj
三脚鸡	sam gxk gri
三花	sam fa
三蕃市	sam fan si
三藩市交通局	sam fan si gau tuj guk
三藩市城市铁路	sam fan si sij si tit lou
三藩市华埠	sam fan si wa fru
三蛇	sam se
三蛇羹	sam se grj
三行	sam hrj
三行仔	sam hoj zri
三行佬	sam hoj lou
三衰六旺	sam sxi luk woj
三角尺	sam gok cek
三角架	sam gok ga
三角测量	sam gok cak lxj
三角皮带	sam gok pei dai
三角铁	sam gok tit
三足鼎立	sam zuk dij lap
三重彩	sam cuj coi
三项铁人	sam hoj tit yrn
三鸟	sam niu
三点三	sam dim sam
三点式	sam dim sik
三点钟	sam dim zuj
上上下下	sxj sxj ha ha
上下九	sxj ha gru
上便	sxj bin
上个礼拜	sxj go lri bai
上列	sxj lit
上半场	sxj bun cxj
上半部	sxj bun bou
上品	sxj brn
上嚟	sxj lri
上址	sxj zi
上堂	sxj toj
上士	sxj si
上天堂	sxj tin toj
上天无路	sxj tin mou lou
上契	sxj kri
上山	sxj san
上岸	sxj jon
上市	sxj si
上得山多终遇虎	sxj drk san do zuj yv fu
上情下达	sxj cij ha dat
上数	sxj sou
上斜	sxj ce
上昼	sxj zru
上朝	sxj ciu
上架	sxj ga
上机	sxj gei
上气唔接下气	sxj hei m zip ha hei
上海人	sxj hoi yrn
上海滩	sxj hoi tan
上海街	sxj hoi gai
上汤	sxj toj
上漆	sxj crt
上画	sxj wa
上皮组织	sxj pei zou zik
上盘	sxj pun
上空装	sxj huj zoj
上窑民俗文物馆	sxj yiu mrn zuk mrn mrt gun
上等货	sxj drj fo
上策	sxj cak
上算	sxj svn
上网	sxj moj
上联	sxj lvn
上脑	sxj nou
上臂	sxj bei
上台	sxj toi
上色	sxj sik
上落	sxj lok
上蜡	sxj lap
上车	sxj ce
上车盘	sxj ce pun
上铺	sxj pou
上链	sxj lin
上阵不离父子兵	sxj zrn brt lei fu zi bij
上电	sxj din
上面	sxj min
上头	sxj tru
上颚	sxj jok
上香	sxj hxj
上马	sxj ma
上高	sxj gou
下下	ha ha
下世投胎	ha sri tru toi
下中农	ha zuj nuj
下乘	ha sij
下人	ha yrn
下低	ha dri
下便	ha bin
下个礼拜	ha go lri bai
下午茶	ha j ca
下半场	ha bun cxj
下半昼	ha bun zru
下去	ha hxi
下咽	ha yin
下啖气	ha dam hei
下嫁	ha ga
下定	ha dej
下巴轻轻	ha ba hij hij
下年	ha nin
下底	ha dri
下情上达	ha cij sxj dat
下怀	ha wai
下扒	ha pa
下扒轻轻	ha pa hij hij
下文	ha mrn
下晏	ha an
下昼	ha zru
下栏	ha lan
下气	ha hei
下水船	ha sxi svn
下火	ha fo
下爬轻轻	ha pa hej hej
下班时间	ha ban si gan
下环	ha wan
下盘	ha pun
下等	ha drj
下策	ha cak
下联	ha lvn
下芳村	ha foj cvn
下贱	ha zin
下述	ha sxt
下逐客令	ha zuk hak lij
下部	ha bou
下里巴人	ha lei ba yrn
下间	ha gan
下降	ha goj
下限	ha han
下集	ha zap
不乏其人	brt frt kei yrn
不予置评	brt yv zi pij
不值一提	brt zik yrt tri
不做	brt zou
不仅仅	brt grn grn
不入虎穴	brt yrp fu yvt
不公平	brt guj pij
不出声	brt cxt sej
不厌其详	brt yim kei cxj
不可不	brt ho brt
不可思议	brt ho si yi
不可想象	brt ho sxj zxj
不同意	brt tuj yi
不喜欢	brt hei fun
不单只	brt dan zi
不单止	brt dan zi
不堪入耳	brt hrm yrp yi
不堪回首	brt hrm wui sru
不堪造就	brt hrm zou zru
不多不少	brt do brt siu
不大不小	brt dai brt siu
不嬲	brt nru
不安	brt on
不小心驾驶	brt siu srm ga sri
不常	brt sxj
不幸的是	brt hrj dik si
不得好死	brt drk hou sei
不必	brt bit
不忠	brt zuj
不惑之年	brt wak zi nin
不恶	brt ok
不成问题	brt sij mrn tri
不成气候	brt sij hei hru
不舍得	brt se drk
不搂	brt lru
不敢	brt grm
不文	brt mrn
不文物	brt mrn mrt
不日放映	brt yrt foj yij
不景	brt gij
不景气	brt gij hei
不晓	brt hiu
不溜	brt lru
不济事	brt zri si
不为五斗米折腰	brt wri j dru mri zit yiu
不无道理	brt mou dou lei
不然的话	brt yin dik wa
不特只	brt drk zi
不特止	brt drk zi
不甘后人	brt grm hru yrn
不生性	brt saj sij
不留	brt lru
不留意	brt lru yi
不知好笑还是好怒	brt zi hou siu wan si hou nou
不知几	brt zi gei
不知几爽	brt zi gei soj
不知所以	brt zi so yi
不知所谓	brt zi so wri
不知道	brt zi dou
不细	brt sri
不经不觉	brt gij brt gok
不经济	brt gij zri
不紧要	brt grn yiu
不而	brt yi
不肖子孙	brt ciu zi svn
不肥不瘦	brt fei brt sru
不肯	brt hrj
不能自拔	brt nrj zi brt
不至于	brt zi yv
不举	brt gxi
不要面	brt yiu min
不见得	brt gin drk
不说不知	brt svt brt zi
不识	brt sik
不足为凭	brt zuk wri prj
不过不失	brt guo brt srt
不过如此	brt guo yv ci
丕烈	pei lit
丕绩	pei zek
世侄	sri zrt
世叔	sri suk
世态	sri tai
世界上	sri gai sxj
世界之窗站	sri gai zi cxj zam
世界仔	sri gai zri
世界史	sri gai si
世界女	sri gai nxi
世界小姐	sri gai siu ze
世界市场	sri gai si cxj
世界性	sri gai sij
世界历史	sri gai lik si
世界波	sri gai bo
世界杯	sri gai bui
世界语言	sri gai yv yin
世界遗产	sri gai wri can
世界银行集团	sri gai jrn hoj zap tvn
世纪之战	sri gei zi zin
世贸中心	sri mru zuj srm
丢低	diu dri
丢假	diu ga
丢卒保车	diu zxt bou ce
丢架	diu ga
丢生	diu srj
丢生晒	diu saj sai
丢疏	diu so
丢疏咗	diu so zo
丢眼色	diu jan sik
丢眼角	diu jan gok
丢那妈	diu na ma
并未	bij mei
并肩作战	bij gin zok zin
并蒂	bij dri
中上层	zuj sxj crj
中上游	zuj sxj yru
中下	zuj ha
中下游	zuj ha yru
中中哋	zuj zuj dei
中位	zuj wri
中停	zuj tij
中共总书记	zuj guj zuj sv gei
中古时代	zuj gu si doi
中史	zuj si
中国人	zuj guok yrn
